Countries,Total Cases,New Cases,Total Recovered,Active Cases,Total Cases Per Million,Death per million,Total Deaths,New Deaths
Hong Kong,1034,4,678,352,138,0.5,4,0
Bulgaria,1024,49,174,801,147,7,49,4
Djibouti,974,29,183,789,986,2,2,0
Ivory Coast,952,36,310,628,36,0.5,14,1
Tunisia,909,8,190,681,77,3,38,0
Nigeria,873,91,197,648,4,0.1,28,3
Cyprus,790,6,98,679,654,11,13,1
Latvia,761,13,133,617,403,6,11,2
Guinea,761,73,164,591,58,0.5,6,0
Andorra,723,6,309,377,9357,479,37,0
Diamond Princess,712,0,645,54,0,0,13,0
Lebanon,682,5,113,547,100,3,22,1
Costa Rica,681,12,180,495,134,1,6,0
Niger,662,5,193,447,27,0.9,22,2
Albania,634,25,356,251,220,9,27,1
Kyrgyzstan,612,22,254,351,94,1,7,0
Burkina Faso,609,9,389,181,29,2,39,1
Bolivia,609,11,44,528,52,3,37,3
Uruguay,549,6,337,200,158,3,12,0
Honduras,510,16,30,434,51,5,46,0
Channel Islands,498,2,285,185,2864,161,28,4
San Marino,488,12,62,386,14382,1179,40,0
Palestine,474,8,71,399,93,0.8,4,0
Malta,444,1,165,276,1006,7,3,0
Senegal,442,30,253,183,26,0.4,6,1
Jordan,435,7,315,113,43,0.7,7,0
Taiwan,426,1,236,184,18,0.3,6,0
Georgia,416,8,107,304,104,1,5,1
Réunion,410,0,238,172,458,0,0,0
DRC,359,9,45,289,4,0.3,25,0
Sri Lanka,330,20,105,218,15,0.3,7,0
Mauritius,329,1,261,59,259,7,9,0
Mayotte,326,15,125,197,1195,15,4,0
Guatemala,316,22,24,284,18,0.4,8,1
Montenegro,315,2,116,194,502,8,5,0
Isle of Man,307,0,212,80,3610,176,15,6
Kenya,303,7,74,215,6,0.3,14,0
Venezuela,298,10,122,166,10,0.4,10,0
Mali,293,35,73,203,14,0.8,17,3
Somalia,286,0,4,274,18,0.5,8,0
Tanzania,284,30,11,263,5,0.2,10,0
Vietnam,268,0,223,45,3,0,0,0
Jamaica,252,24,27,219,85,2,6,0
El Salvador,237,12,63,167,37,1,7,0
Paraguay,213,5,62,142,30,1,9,1
Congo,186,21,16,164,34,1,6,0
Faeroe Islands,185,0,178,7,3786,0,0,0
Gabon,166,10,24,141,75,0.4,1,0
Martinique,164,1,73,77,437,37,14,0
Rwanda,153,3,84,69,12,0,0,0
Guadeloupe,148,0,76,60,370,30,12,0
Sudan,140,0,12,115,3,0.3,13,0
Brunei ,138,0,117,20,315,2,1,0
Gibraltar,132,0,127,5,3918,0,0,0
Myanmar,123,2,7,111,2,0.09,5,0
Cambodia,122,0,110,12,7,0,0,0
Madagascar,121,0,52,69,4,0,0,0
Ethiopia,116,2,21,92,1,0.03,3,0
Trinidad and Tobago,115,0,37,70,82,6,8,0
French Guiana,107,10,84,22,358,3,1,0
Liberia,101,0,20,73,20,2,8,0
Aruba,100,3,68,30,937,19,2,0
Bermuda,99,1,39,55,1590,80,5,0
Monaco,94,0,26,65,2395,76,3,0
Togo,88,2,56,26,11,0.7,6,0
Maldives,86,0,16,70,159,0,0,0
Equatorial Guinea,84,1,7,76,60,0.7,1,1
Liechtenstein,81,0,55,25,2124,26,1,0
Barbados,76,1,27,43,264,21,6,1
Zambia,74,4,35,36,4,0.2,3,0
Cabo Verde,73,5,1,71,131,2,1,0
Sint Maarten,71,3,22,38,1656,257,11,1
Guyana,67,1,9,51,85,9,7,0
Cayman Islands,66,0,7,58,1004,15,1,0
Bahamas,65,0,12,44,165,23,9,0
Uganda,63,2,45,18,1,0,0,0
Haiti,62,5,2,56,5,0.4,4,1
Sierra Leone,61,11,6,55,8,0,0,0
Libya,60,1,15,44,9,0.1,1,0
French Polynesia,57,0,35,22,203,0,0,0
Benin,54,0,27,26,4,0.08,1,0
Guinea-Bissau,50,0,3,47,25,0,0,0
Macao,45,0,26,19,69,0,0,0
Nepal,45,3,7,38,2,0,0,0
Syria,42,0,6,33,2,0.2,3,0
Mozambique,41,2,8,33,1,0,0,0
Eritrea,39,0,6,33,11,0,0,0
Saint Martin,38,0,19,17,983,52,2,0
Mongolia,35,1,8,27,11,0,0,0
Chad,33,0,8,25,2,0,0,0
Eswatini,31,0,8,22,27,0.9,1,0
Zimbabwe,28,0,2,22,2,0.3,4,1
Angola,25,1,6,17,0.8,0.06,2,0
Antigua and Barbuda,24,1,10,11,245,31,3,0
Malawi,23,5,3,17,1,0.2,3,1
Timor-Leste,23,0,1,22,17,0,0,0
Botswana,22,2,0,21,9,0.4,1,0
Laos,19,0,4,15,3,0,0,0
Belize,18,0,2,14,45,5,2,0
Fiji,18,0,8,10,20,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Dominica,16,0,9,7,222,0,0,0
Namibia,16,0,6,10,6,0,0,0
Grenada,15,1,6,9,133,0,0,0
Saint Kitts and Nevis,15,0,1,14,282,0,0,0
Saint Lucia,15,0,15,0,82,0,0,0
Curaçao,14,0,11,2,85,6,1,0
CAR,14,0,10,4,3,0,0,0
St. Vincent Grenadines,13,1,3,10,117,0,0,0
Burundi,11,6,4,6,0.9,0.08,1,0
Turks and Caicos,11,0,4,6,284,26,1,0
Falkland Islands,11,0,3,8,3161,0,0,0
Greenland,11,0,11,0,194,0,0,0
Montserrat,11,0,2,9,2204,0,0,0
Seychelles,11,0,5,6,112,0,0,0
Nicaragua,10,0,7,1,2,0.3,2,0
Gambia,10,0,2,7,4,0.4,1,0
Suriname,10,0,6,3,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Vatican City,9,0,2,7,11236,0,0,0
Papua New Guinea,8,1,0,8,0.9,0,0,0
Mauritania,7,0,6,0,2,0.2,1,0
Bhutan,7,1,2,5,9,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,0,6,10,0,0,0
British Virgin Islands,5,0,3,1,165,33,1,0
Caribbean Netherlands,5,0,0,5,191,0,0,0
Sao Tome and Principe,4,0,0,4,18,0,0,0
South Sudan,4,0,0,4,0.4,0,0,0
Anguilla,3,0,1,2,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
Yemen,1,0,0,1,0.03,0,0,0
China,82804,6,77257,915,58,3,4632,0
USA,925232,38958,110432,762607,2795,158,52193,1959
Spain,219764,6740,92355,104885,4700,482,22524,367
Italy,192994,3021,60498,106527,3192,430,25969,420
France,159828,1645,43493,94090,2449,341,22245,389
Germany,154999,1870,106800,42439,1850,69,5760,185
UK,143464,5386,0,123614,2113,287,19506,768
Turkey,104912,3122,21737,80575,1244,31,2600,109
Iran,88194,1168,66599,16021,1050,66,5574,93
Russia,68622,5849,5568,62439,470,4,615,60
Brazil,52995,3503,27655,21670,249,17,3670,357
Belgium,44293,1496,10122,27492,3822,576,6679,189
Canada,43888,1778,15469,26117,1163,61,2302,155
Netherlands,36535,806,0,31996,2132,250,4289,112
Switzerland,28677,181,21000,6088,3313,184,1589,40
India,24447,1408,5496,18171,18,0.6,780,59
Portugal,22797,444,1228,20715,2236,84,854,34
Ecuador,22719,11536,1366,20777,1288,33,576,16
Peru,21648,734,7496,13518,657,19,634,62
Ireland,18184,577,9233,7937,3683,205,1014,220
Sweden,17567,812,550,14865,1739,213,2152,131
Saudi Arabia,15102,1172,2049,12926,434,4,127,6
Austria,15071,69,11872,2669,1673,59,530,8
Israel,15058,255,6003,8861,1740,22,194,2
Japan,12712,344,1530,10837,101,3,345,17
Chile,12306,494,6327,5805,644,9,174,6
Singapore,12075,897,956,11107,2064,2,12,0
Pakistan,11940,883,2755,8932,54,1,253,18
Mexico,11633,1089,2627,7937,90,8,1069,99
Poland,10892,381,1944,8454,288,13,494,40
S. Korea,10708,6,8501,1967,209,5,240,0
Romania,10417,321,2817,7033,541,29,567,22
UAE,9281,525,1760,7457,938,6,64,8
Belarus,8773,751,1120,7590,928,7,63,3
Qatar,8525,761,809,7706,2959,3,10,0
Indonesia,8211,436,1002,6520,30,3,689,42
Denmark,8210,137,5526,2281,1417,70,403,9
Ukraine,7647,477,601,6853,175,4,193,6
Serbia,7483,207,1094,6245,856,16,144,5
Norway,7463,62,32,7232,1377,37,199,5
Czechia,7273,86,2371,4688,679,20,214,4
Philippines,7192,211,762,5953,66,4,477,15
Australia,6675,8,5136,1460,262,3,79,4
Dominican Republic,5749,206,763,4719,530,25,267,2
Malaysia,5691,88,3663,1932,176,3,96,1
Panama,5166,174,271,4749,1197,34,146,2
Colombia,4881,320,1003,3653,96,4,225,10
Bangladesh,4689,503,112,4446,28,0.8,131,4
Finland,4395,111,2500,1718,793,32,177,5
South Africa,4220,267,1473,2668,71,1,79,4
Egypt,4092,201,1075,2723,40,3,294,7
Morocco,3758,190,486,3114,102,4,158,3
Luxembourg,3695,30,3007,603,5903,136,85,2
Argentina,3607,172,976,2455,80,4,176,11
Algeria,3127,120,1408,1304,71,9,415,8
Moldova,3110,184,755,2271,771,21,84,4
Thailand,2854,15,2490,314,41,0.7,50,0
Kuwait,2614,215,613,1986,612,4,15,1
Bahrain,2518,301,1113,1397,1480,5,8,0
Greece,2490,27,577,1783,239,12,130,5
Kazakhstan,2416,127,604,1787,129,1,25,5
Hungary,2383,99,401,1732,247,26,250,11
Croatia,2009,28,982,976,489,12,51,1
Uzbekistan,1804,46,621,1175,54,0.2,8,1
Oman,1790,74,325,1455,351,2,10,1
Iceland,1789,0,1542,237,5243,29,10,0
Iraq,1708,31,1204,418,42,2,86,3
Estonia,1605,13,206,1353,1210,35,46,1
Armenia,1596,73,728,841,539,9,27,3
Azerbaijan,1592,44,1013,558,157,2,21,1
New Zealand,1456,5,1095,344,302,4,17,1
Cameroon,1430,96,668,719,54,2,43,0
Bosnia and Herzegovina,1421,8,538,828,433,17,55,1
Lithuania,1410,12,430,940,518,15,40,0
Slovenia,1373,7,211,1082,660,38,80,1
Slovakia,1360,35,355,988,249,3,17,2
Afghanistan,1351,72,188,1120,35,1,43,1
North Macedonia,1326,26,337,932,636,27,57,1
Cuba,1285,50,416,820,113,4,49,6
Ghana,1279,125,134,1135,41,0.3,10,1
Bulgaria,1188,91,193,941,171,8,54,2
Nigeria,1095,114,208,855,5,0.2,32,1
Ivory Coast,1077,73,419,644,41,0.5,14,0
Hong Kong,1036,0,725,307,138,0.5,4,0
Djibouti,999,13,330,667,1011,2,2,0
Guinea,954,92,191,757,73,0.5,6,0
Tunisia,922,4,194,690,78,3,38,0
Cyprus,804,9,98,692,666,12,14,1
Latvia,784,6,267,505,416,6,12,1
Andorra,731,8,344,347,9461,518,40,3
Diamond Princess,712,0,645,54,0,0,13,0
Bolivia,703,31,44,616,60,4,43,3
Lebanon,696,8,140,534,102,3,22,0
Costa Rica,687,1,216,465,135,1,6,0
Niger,681,10,289,368,28,1,24,0
Albania,678,15,394,257,236,9,27,0
Kyrgyzstan,656,25,322,326,101,1,8,0
Burkina Faso,629,13,425,163,30,2,41,0
Uruguay,563,14,369,182,162,3,12,0
Honduras,562,43,50,465,57,5,47,0
Senegal,545,66,262,276,33,0.4,7,1
Channel Islands,523,2,295,194,3008,196,34,5
San Marino,513,12,64,409,15119,1179,40,0
Palestine,484,4,92,388,95,0.8,4,0
Malta,447,2,223,221,1012,7,3,0
Georgia,444,19,132,307,111,1,5,0
Jordan,441,4,326,108,43,0.7,7,0
Taiwan,428,1,264,158,18,0.3,6,0
Sri Lanka,417,49,109,301,19,0.3,7,0
Réunion,412,0,300,112,460,0,0,0
DRC,394,17,48,321,4,0.3,25,0
Guatemala,384,42,30,343,21,0.6,11,1
Mayotte,354,28,144,206,1298,15,4,0
Kenya,336,16,94,228,6,0.3,14,0
Mauritius,331,0,285,37,260,7,9,0
Somalia,328,0,8,304,21,1,16,0
Mali,325,16,87,217,16,1,21,0
Montenegro,319,3,123,190,508,10,6,1
Venezuela,318,20,132,176,11,0.4,10,0
Isle of Man,308,1,230,60,3622,212,18,2
Tanzania,299,15,48,241,5,0.2,10,0
Vietnam,270,2,220,50,3,0,0,0
El Salvador,261,11,72,181,40,1,8,0
Jamaica,257,5,28,222,87,2,7,1
Paraguay,220,7,70,141,31,1,9,0
Equatorial Guinea,214,5,7,206,153,0.7,1,0
Congo,200,14,19,175,36,1,6,0
Faeroe Islands,187,0,178,9,3827,0,0,0
Rwanda,176,22,87,89,14,0,0,0
Sudan,174,12,14,144,4,0.4,16,3
Gabon,172,5,26,143,77,1,3,1
Martinique,170,6,77,79,453,37,14,0
Guadeloupe,149,1,82,55,372,30,12,0
Myanmar,144,12,9,130,3,0.09,5,0
Brunei ,138,0,120,17,315,2,1,0
Gibraltar,133,0,131,2,3948,0,0,0
Maldives,129,21,16,113,239,0,0,0
Cambodia,122,0,117,5,7,0,0,0
Madagascar,122,1,61,61,4,0,0,0
Liberia,117,16,25,84,23,2,8,0
Ethiopia,117,1,25,89,1,0.03,3,0
Trinidad and Tobago,115,0,48,59,82,6,8,0
French Guiana,111,4,87,23,372,3,1,0
Aruba,100,0,69,29,937,19,2,0
Bermuda,99,0,39,55,1590,80,5,0
Monaco,94,0,41,49,2395,102,4,0
Togo,90,2,59,25,11,0.7,6,0
Cabo Verde,88,6,1,86,158,2,1,0
Zambia,84,8,37,44,5,0.2,3,0
Sierra Leone,82,18,10,70,10,0.3,2,1
Liechtenstein,81,0,55,25,2124,26,1,0
Barbados,77,1,31,40,268,21,6,0
Uganda,75,1,46,29,2,0,0,0
Sint Maarten,73,0,22,39,1703,280,12,0
Bahamas,73,1,15,47,186,28,11,0
Guyana,73,3,12,54,93,9,7,0
Haiti,72,0,2,65,6,0.4,5,0
Cayman Islands,70,4,8,61,1065,15,1,0
Mozambique,65,19,12,53,2,0,0,0
Libya,61,1,18,41,9,0.3,2,0
French Polynesia,57,0,41,16,203,0,0,0
Benin,54,0,27,26,4,0.08,1,0
Guinea-Bissau,52,2,3,49,26,0,0,0
Nepal,49,1,10,39,2,0,0,0
Macao,45,0,27,18,69,0,0,0
Syria,42,0,6,33,2,0.2,3,0
Chad,40,7,8,32,2,0,0,0
Eritrea,39,0,11,28,11,0,0,0
Saint Martin,38,0,24,11,983,78,3,1
Eswatini,36,5,10,25,31,0.9,1,0
Mongolia,36,1,9,27,11,0,0,0
Malawi,33,0,4,26,2,0.2,3,0
Zimbabwe,29,1,2,23,2,0.3,4,0
Angola,25,0,6,17,0.8,0.06,2,0
Antigua and Barbuda,24,0,11,10,245,31,3,0
Timor-Leste,24,1,2,22,18,0,0,0
Botswana,22,0,0,21,9,0.4,1,0
Laos,19,0,4,15,3,0,0,0
Belize,18,0,5,11,45,5,2,0
Fiji,18,0,10,8,20,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Curaçao,16,2,11,4,98,6,1,0
CAR,16,0,10,6,3,0,0,0
Dominica,16,0,10,6,222,0,0,0
Namibia,16,0,7,9,6,0,0,0
Grenada,15,0,7,8,133,0,0,0
Saint Kitts and Nevis,15,0,2,13,282,0,0,0
Saint Lucia,15,0,15,0,82,0,0,0
St. Vincent Grenadines,14,1,5,9,126,0,0,0
Falkland Islands,12,0,11,1,3448,0,0,0
Nicaragua,11,0,7,1,2,0.5,3,0
Burundi,11,0,4,6,0.9,0.08,1,0
Turks and Caicos,11,0,4,6,284,26,1,0
Greenland,11,0,11,0,194,0,0,0
Montserrat,11,0,2,9,2204,0,0,0
Seychelles,11,0,6,5,112,0,0,0
Gambia,10,0,8,1,4,0.4,1,0
Suriname,10,0,7,2,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Vatican City,9,0,2,7,11236,0,0,0
Papua New Guinea,8,0,0,8,0.9,0,0,0
Mauritania,7,0,6,0,2,0.2,1,0
Bhutan,7,0,3,4,9,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
British Virgin Islands,5,0,3,1,165,33,1,0
Caribbean Netherlands,5,0,0,5,191,0,0,0
South Sudan,5,1,0,5,0.4,0,0,0
Sao Tome and Principe,4,0,0,4,18,0,0,0
Anguilla,3,0,1,2,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
Yemen,1,0,1,0,0.03,0,0,0
China,82804,6,77257,915,58,3,4632,0
USA,925232,38958,110432,762607,2795,158,52193,1959
Spain,219764,6740,92355,104885,4700,482,22524,367
Italy,192994,3021,60498,106527,3192,430,25969,420
France,159828,1645,43493,94090,2449,341,22245,389
Germany,154999,1870,106800,42439,1850,69,5760,185
UK,143464,5386,0,123614,2113,287,19506,768
Turkey,104912,3122,21737,80575,1244,31,2600,109
Iran,88194,1168,66599,16021,1050,66,5574,93
Russia,68622,5849,5568,62439,470,4,615,60
Brazil,52995,3503,27655,21670,249,17,3670,357
Belgium,44293,1496,10122,27492,3822,576,6679,189
Canada,43888,1778,15469,26117,1163,61,2302,155
Netherlands,36535,806,0,31996,2132,250,4289,112
Switzerland,28677,181,21000,6088,3313,184,1589,40
India,24447,1408,5496,18171,18,0.6,780,59
Portugal,22797,444,1228,20715,2236,84,854,34
Ecuador,22719,11536,1366,20777,1288,33,576,16
Peru,21648,734,7496,13518,657,19,634,62
Ireland,18184,577,9233,7937,3683,205,1014,220
Sweden,17567,812,550,14865,1739,213,2152,131
Saudi Arabia,15102,1172,2049,12926,434,4,127,6
Austria,15071,69,11872,2669,1673,59,530,8
Israel,15058,255,6003,8861,1740,22,194,2
Japan,12712,344,1530,10837,101,3,345,17
Chile,12306,494,6327,5805,644,9,174,6
Singapore,12075,897,956,11107,2064,2,12,0
Pakistan,11940,883,2755,8932,54,1,253,18
Mexico,11633,1089,2627,7937,90,8,1069,99
Poland,10892,381,1944,8454,288,13,494,40
S. Korea,10708,6,8501,1967,209,5,240,0
Romania,10417,321,2817,7033,541,29,567,22
UAE,9281,525,1760,7457,938,6,64,8
Belarus,8773,751,1120,7590,928,7,63,3
Qatar,8525,761,809,7706,2959,3,10,0
Indonesia,8211,436,1002,6520,30,3,689,42
Denmark,8210,137,5526,2281,1417,70,403,9
Ukraine,7647,477,601,6853,175,4,193,6
Serbia,7483,207,1094,6245,856,16,144,5
Norway,7463,62,32,7232,1377,37,199,5
Czechia,7273,86,2371,4688,679,20,214,4
Philippines,7192,211,762,5953,66,4,477,15
Australia,6675,8,5136,1460,262,3,79,4
Dominican Republic,5749,206,763,4719,530,25,267,2
Malaysia,5691,88,3663,1932,176,3,96,1
Panama,5166,174,271,4749,1197,34,146,2
Colombia,4881,320,1003,3653,96,4,225,10
Bangladesh,4689,503,112,4446,28,0.8,131,4
Finland,4395,111,2500,1718,793,32,177,5
South Africa,4220,267,1473,2668,71,1,79,4
Egypt,4092,201,1075,2723,40,3,294,7
Morocco,3758,190,486,3114,102,4,158,3
Luxembourg,3695,30,3007,603,5903,136,85,2
Argentina,3607,172,976,2455,80,4,176,11
Algeria,3127,120,1408,1304,71,9,415,8
Moldova,3110,184,755,2271,771,21,84,4
Thailand,2854,15,2490,314,41,0.7,50,0
Kuwait,2614,215,613,1986,612,4,15,1
Bahrain,2518,301,1113,1397,1480,5,8,0
Greece,2490,27,577,1783,239,12,130,5
Kazakhstan,2416,127,604,1787,129,1,25,5
Hungary,2383,99,401,1732,247,26,250,11
Croatia,2009,28,982,976,489,12,51,1
Uzbekistan,1804,46,621,1175,54,0.2,8,1
Oman,1790,74,325,1455,351,2,10,1
Iceland,1789,0,1542,237,5243,29,10,0
Iraq,1708,31,1204,418,42,2,86,3
Estonia,1605,13,206,1353,1210,35,46,1
Armenia,1596,73,728,841,539,9,27,3
Azerbaijan,1592,44,1013,558,157,2,21,1
New Zealand,1456,5,1095,344,302,4,17,1
Cameroon,1430,96,668,719,54,2,43,0
Bosnia and Herzegovina,1421,8,538,828,433,17,55,1
Lithuania,1410,12,430,940,518,15,40,0
Slovenia,1373,7,211,1082,660,38,80,1
Slovakia,1360,35,355,988,249,3,17,2
Afghanistan,1351,72,188,1120,35,1,43,1
North Macedonia,1326,26,337,932,636,27,57,1
Cuba,1285,50,416,820,113,4,49,6
Ghana,1279,125,134,1135,41,0.3,10,1
Bulgaria,1188,91,193,941,171,8,54,2
Nigeria,1095,114,208,855,5,0.2,32,1
Ivory Coast,1077,73,419,644,41,0.5,14,0
Hong Kong,1036,0,725,307,138,0.5,4,0
Djibouti,999,13,330,667,1011,2,2,0
Guinea,954,92,191,757,73,0.5,6,0
Tunisia,922,4,194,690,78,3,38,0
Cyprus,804,9,98,692,666,12,14,1
Latvia,784,6,267,505,416,6,12,1
Andorra,731,8,344,347,9461,518,40,3
Diamond Princess,712,0,645,54,0,0,13,0
Bolivia,703,31,44,616,60,4,43,3
Lebanon,696,8,140,534,102,3,22,0
Costa Rica,687,1,216,465,135,1,6,0
Niger,681,10,289,368,28,1,24,0
Albania,678,15,394,257,236,9,27,0
Kyrgyzstan,656,25,322,326,101,1,8,0
Burkina Faso,629,13,425,163,30,2,41,0
Uruguay,563,14,369,182,162,3,12,0
Honduras,562,43,50,465,57,5,47,0
Senegal,545,66,262,276,33,0.4,7,1
Channel Islands,523,2,295,194,3008,196,34,5
San Marino,513,12,64,409,15119,1179,40,0
Palestine,484,4,92,388,95,0.8,4,0
Malta,447,2,223,221,1012,7,3,0
Georgia,444,19,132,307,111,1,5,0
Jordan,441,4,326,108,43,0.7,7,0
Taiwan,428,1,264,158,18,0.3,6,0
Sri Lanka,417,49,109,301,19,0.3,7,0
Réunion,412,0,300,112,460,0,0,0
DRC,394,17,48,321,4,0.3,25,0
Guatemala,384,42,30,343,21,0.6,11,1
Mayotte,354,28,144,206,1298,15,4,0
Kenya,336,16,94,228,6,0.3,14,0
Mauritius,331,0,285,37,260,7,9,0
Somalia,328,0,8,304,21,1,16,0
Mali,325,16,87,217,16,1,21,0
Montenegro,319,3,123,190,508,10,6,1
Venezuela,318,20,132,176,11,0.4,10,0
Isle of Man,308,1,230,60,3622,212,18,2
Tanzania,299,15,48,241,5,0.2,10,0
Vietnam,270,2,220,50,3,0,0,0
El Salvador,261,11,72,181,40,1,8,0
Jamaica,257,5,28,222,87,2,7,1
Paraguay,220,7,70,141,31,1,9,0
Equatorial Guinea,214,5,7,206,153,0.7,1,0
Congo,200,14,19,175,36,1,6,0
Faeroe Islands,187,0,178,9,3827,0,0,0
Rwanda,176,22,87,89,14,0,0,0
Sudan,174,12,14,144,4,0.4,16,3
Gabon,172,5,26,143,77,1,3,1
Martinique,170,6,77,79,453,37,14,0
Guadeloupe,149,1,82,55,372,30,12,0
Myanmar,144,12,9,130,3,0.09,5,0
Brunei ,138,0,120,17,315,2,1,0
Gibraltar,133,0,131,2,3948,0,0,0
Maldives,129,21,16,113,239,0,0,0
Cambodia,122,0,117,5,7,0,0,0
Madagascar,122,1,61,61,4,0,0,0
Liberia,117,16,25,84,23,2,8,0
Ethiopia,117,1,25,89,1,0.03,3,0
Trinidad and Tobago,115,0,48,59,82,6,8,0
French Guiana,111,4,87,23,372,3,1,0
Aruba,100,0,69,29,937,19,2,0
Bermuda,99,0,39,55,1590,80,5,0
Monaco,94,0,41,49,2395,102,4,0
Togo,90,2,59,25,11,0.7,6,0
Cabo Verde,88,6,1,86,158,2,1,0
Zambia,84,8,37,44,5,0.2,3,0
Sierra Leone,82,18,10,70,10,0.3,2,1
Liechtenstein,81,0,55,25,2124,26,1,0
Barbados,77,1,31,40,268,21,6,0
Uganda,75,1,46,29,2,0,0,0
Sint Maarten,73,0,22,39,1703,280,12,0
Bahamas,73,1,15,47,186,28,11,0
Guyana,73,3,12,54,93,9,7,0
Haiti,72,0,2,65,6,0.4,5,0
Cayman Islands,70,4,8,61,1065,15,1,0
Mozambique,65,19,12,53,2,0,0,0
Libya,61,1,18,41,9,0.3,2,0
French Polynesia,57,0,41,16,203,0,0,0
Benin,54,0,27,26,4,0.08,1,0
Guinea-Bissau,52,2,3,49,26,0,0,0
Nepal,49,1,10,39,2,0,0,0
Macao,45,0,27,18,69,0,0,0
Syria,42,0,6,33,2,0.2,3,0
Chad,40,7,8,32,2,0,0,0
Eritrea,39,0,11,28,11,0,0,0
Saint Martin,38,0,24,11,983,78,3,1
Eswatini,36,5,10,25,31,0.9,1,0
Mongolia,36,1,9,27,11,0,0,0
Malawi,33,0,4,26,2,0.2,3,0
Zimbabwe,29,1,2,23,2,0.3,4,0
Angola,25,0,6,17,0.8,0.06,2,0
Antigua and Barbuda,24,0,11,10,245,31,3,0
Timor-Leste,24,1,2,22,18,0,0,0
Botswana,22,0,0,21,9,0.4,1,0
Laos,19,0,4,15,3,0,0,0
Belize,18,0,5,11,45,5,2,0
Fiji,18,0,10,8,20,0,0,0
