Countries,Total Cases,New Cases,Total Recovered,Active Cases,Total Cases Per Million,Death per million,Total Deaths,New Deaths
South Africa,6336,385,2549,3664,107,2,123,7
Egypt,6193,298,1522,4256,61,4,415,9
Malaysia,6176,105,4326,1747,191,3,103,0
Finland,5176,125,3000,1956,934,40,220,2
Morocco,4729,160,1256,3300,128,5,173,2
Argentina,4681,149,1320,3124,104,5,237,12
Kuwait,4619,242,1703,2883,1082,8,33,3
Algeria,4295,141,1872,1964,98,10,459,6
Moldova,4052,72,1334,2594,1004,31,124,2
Kazakhstan,3857,260,985,2847,205,1,25,0
Luxembourg,3812,10,3318,402,6090,147,92,0
Bahrain,3284,114,1568,1708,1930,5,8,0
Thailand,2966,6,2732,180,42,0.8,54,0
Hungary,2942,79,625,1982,305,35,335,12
Greece,2620,8,1374,1103,251,14,143,3
Oman,2483,36,750,1721,486,2,12,1
Afghanistan,2469,134,331,2066,63,2,72,4
Nigeria,2388,218,351,1952,12,0.4,85,17
Armenia,2273,125,1010,1230,767,11,33,0
Iraq,2219,66,1473,651,55,2,95,1
Ghana,2169,95,229,1922,70,0.6,18,1
Uzbekistan,2118,32,1271,838,63,0.3,9,0
Croatia,2088,3,1463,548,509,19,77,2
Cameroon,2077,245,953,1060,78,2,64,3
Azerbaijan,1894,40,1411,458,187,2,25,0
Bosnia and Herzegovina,1839,58,779,988,561,22,72,2
Iceland,1798,0,1706,82,5269,29,10,0
Estonia,1699,5,256,1390,1281,40,53,1
Cuba,1611,74,765,780,142,6,66,2
Bulgaria,1594,39,287,1235,229,10,72,4
Guinea,1586,49,405,1174,121,0.5,7,0
North Macedonia,1506,12,852,572,723,39,82,1
New Zealand,1485,6,1263,202,308,4,20,1
Slovenia,1439,5,239,1106,692,45,94,2
Slovakia,1407,4,608,775,258,4,24,1
Lithuania,1406,7,632,728,516,17,46,1
Ivory Coast,1362,29,622,725,52,0.6,15,0
Bolivia,1229,62,134,1029,105,6,66,4
Senegal,1115,91,368,738,67,0.5,9,0
Djibouti,1112,15,686,424,1126,2,2,0
Hong Kong,1040,0,864,172,139,0.5,4,0
Tunisia,1009,11,323,644,85,4,42,1
Honduras,899,95,112,712,91,8,75,0
Latvia,871,1,348,507,462,8,16,0
Cyprus,864,7,296,553,716,12,15,0
Albania,789,7,519,239,274,11,31,0
Kyrgyzstan,769,13,527,234,118,1,8,0
Andorra,747,2,472,231,9668,569,44,1
Niger,736,8,507,194,30,1,35,2
Lebanon,733,4,197,511,107,4,25,1
Costa Rica,733,8,372,355,144,1,6,0
Diamond Princess,712,0,645,54,0,0,13,0
Sri Lanka,702,12,172,523,33,0.3,7,0
DRC,674,70,75,566,8,0.4,33,1
Somalia,671,70,34,606,42,2,31,3
Burkina Faso,652,3,535,73,31,2,44,0
Uruguay,652,4,440,195,188,5,17,0
Guatemala,644,45,72,556,36,0.9,16,0
Sudan,592,150,52,499,14,0.9,41,10
Georgia,582,16,207,367,146,2,8,1
San Marino,580,0,83,456,17094,1208,41,0
Mali,544,36,206,312,27,1,26,0
Channel Islands,543,5,406,96,3123,236,41,0
Mayotte,539,0,235,300,1976,15,4,0
Maldives,519,28,18,500,960,2,1,0
Tanzania,480,0,167,297,8,0.3,16,0
Malta,468,1,379,85,1060,9,4,0
Jordan,460,1,367,84,45,0.9,9,1
El Salvador,446,22,141,294,69,2,11,1
Kenya,435,24,152,261,8,0.4,22,1
Jamaica,432,10,31,393,146,3,8,0
Taiwan,432,3,324,102,18,0.3,6,0
Réunion,423,1,300,123,472,0,0,0
Palestine,353,0,76,275,69,0.4,2,0
Venezuela,345,10,148,187,12,0.4,10,0
Gabon,335,59,85,245,151,2,5,2
Paraguay,333,67,115,208,47,1,10,0
Mauritius,332,0,314,8,261,8,10,0
Montenegro,322,0,245,69,513,13,8,1
Isle of Man,320,4,271,27,3763,259,22,0
Equatorial Guinea,315,0,9,305,225,0.7,1,0
Vietnam,270,0,219,51,3,0,0,0
Guinea-Bissau,257,0,19,237,131,0.5,1,0
Rwanda,255,6,120,135,20,0,0,0
Congo,229,0,25,195,41,2,9,0
Faeroe Islands,187,0,184,3,3827,0,0,0
Martinique,179,0,83,82,477,37,14,0
Sierra Leone,155,19,21,126,19,1,8,1
Liberia,154,2,48,88,30,4,18,0
Guadeloupe,152,0,95,45,380,30,12,0
Cabo Verde,152,30,18,132,273,4,2,1
Myanmar,151,0,37,108,3,0.1,6,0
Gibraltar,144,0,132,12,4274,0,0,0
Brunei ,138,0,126,11,315,2,1,0
Madagascar,135,3,97,38,5,0,0,0
Ethiopia,133,0,69,61,1,0.03,3,0
French Guiana,128,0,98,29,429,3,1,0
Togo,123,0,66,48,15,1,9,0
Cambodia,122,0,120,2,7,0,0,0
Zambia,119,10,75,41,6,0.2,3,0
Chad,117,44,39,68,7,0.6,10,5
Trinidad and Tobago,116,0,88,20,83,6,8,0
Bermuda,114,0,51,56,1831,112,7,1
Eswatini,108,2,12,95,93,0.9,1,0
Aruba,100,0,81,17,937,19,2,0
Monaco,95,0,78,13,2421,102,4,0
Benin,90,0,42,46,7,0.2,2,0
Uganda,88,3,52,36,2,0,0,0
Haiti,85,0,10,67,7,0.7,8,0
Bahamas,83,2,24,48,211,28,11,0
Guyana,82,0,22,51,104,11,9,0
Liechtenstein,82,0,55,26,2151,26,1,0
Barbados,81,0,44,30,282,24,7,0
Mozambique,79,0,18,61,3,0,0,0
Sint Maarten,76,0,44,19,1773,303,13,0
Tajikistan,76,61,0,74,8,0.2,2,2
Cayman Islands,74,0,10,63,1126,15,1,0
CAR,72,0,10,62,15,0,0,0
Libya,63,0,22,38,9,0.4,3,0
Nepal,59,0,16,43,2,0,0,0
French Polynesia,58,0,51,7,206,0,0,0
Macao,45,0,37,8,69,0,0,0
South Sudan,45,0,0,45,4,0,0,0
Syria,44,0,27,14,3,0.2,3,0
Eritrea,39,0,26,13,11,0,0,0
Mongolia,39,1,10,29,12,0,0,0
Malawi,38,1,9,26,2,0.2,3,0
Saint Martin,38,0,27,8,983,78,3,0
Angola,35,5,11,22,1,0.06,2,0
Zimbabwe,34,0,5,25,2,0.3,4,0
Antigua and Barbuda,25,0,15,7,255,31,3,0
Timor-Leste,24,0,16,8,18,0,0,0
Botswana,23,0,8,14,10,0.4,1,0
Grenada,21,1,13,8,187,0,0,0
Laos,19,0,9,10,3,0,0,0
Belize,18,0,13,3,45,5,2,0
Fiji,18,0,14,4,20,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Gambia,17,5,9,7,7,0.4,1,0
Saint Lucia,17,0,15,2,93,0,0,0
Curaçao,16,0,13,2,98,6,1,0
Sao Tome and Principe,16,0,4,11,73,5,1,0
Dominica,16,0,13,3,222,0,0,0
Namibia,16,0,8,8,6,0,0,0
St. Vincent Grenadines,16,0,8,8,144,0,0,0
Burundi,15,4,7,7,1,0.08,1,0
Saint Kitts and Nevis,15,0,8,7,282,0,0,0
Nicaragua,14,0,7,4,2,0.5,3,0
Falkland Islands,13,0,13,0,3736,0,0,0
Turks and Caicos,12,0,5,6,310,26,1,0
Montserrat,11,0,2,8,2204,200,1,0
Greenland,11,0,11,0,194,0,0,0
Vatican City,11,0,2,9,13733,0,0,0
Seychelles,11,0,6,5,112,0,0,0
Yemen,10,3,1,7,0.3,0.07,2,0
Suriname,10,0,8,1,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Mauritania,8,0,6,1,2,0.2,1,0
Papua New Guinea,8,0,0,8,0.9,0,0,0
Bhutan,7,0,5,2,9,0,0,0
British Virgin Islands,6,0,3,2,198,33,1,0
Caribbean Netherlands,6,0,0,6,229,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
Anguilla,3,0,3,0,200,0,0,0
Comoros,3,2,0,3,3,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
China,82877,2,77713,531,58,3,4633,0
USA,1188122,27348,178263,941261,3589,207,68598,1154
Spain,247122,1533,148558,73300,5285,540,25264,164
Italy,210717,1389,81654,100179,3485,478,28884,174
UK,186599,4339,0,157809,2749,419,28446,315
France,168693,297,50784,93014,2584,381,24895,135
Germany,165664,697,130600,28198,1977,82,6866,54
Russia,134687,10633,16639,116768,923,9,1280,58
Turkey,126045,1670,63151,59497,1495,40,3397,61
Brazil,101147,4588,42991,51131,476,33,7025,275
Iran,97424,976,78422,12799,1160,74,6203,47
Canada,59474,2760,24908,30884,1576,98,3682,116
Belgium,49906,389,12309,29753,4306,677,7844,79
Peru,45928,3394,13550,31092,1393,39,1286,86
India,42505,2806,11775,29339,31,1,1391,68
Netherlands,40571,335,0,35265,2368,295,5056,69
Switzerland,29905,88,24500,3643,3455,204,1762,0
Ecuador,29538,2074,3300,24674,1674,89,1564,193
Saudi Arabia,27011,1552,4134,22693,776,5,184,8
Portugal,25282,92,1689,22550,2479,102,1043,20
Sweden,22317,235,1005,18633,2210,265,2679,10
Mexico,22088,1349,13447,6580,171,16,2061,89
Ireland,21506,330,13386,6817,4355,264,1303,17
Pakistan,20084,1062,5114,14513,91,2,457,20
Chile,19663,1228,10041,9362,1029,14,260,13
Singapore,18205,657,1408,16779,3112,3,18,1
Belarus,16705,877,3196,13410,1768,10,99,2
Israel,16208,23,9749,6227,1873,27,232,3
Austria,15597,39,13228,1771,1732,66,598,2
Qatar,15551,679,1664,13875,5398,4,12,0
Japan,14877,306,3981,10409,118,4,487,13
UAE,14163,564,2763,11274,1432,13,126,7
Poland,13693,318,3945,9070,362,18,678,14
Romania,13163,431,4869,7504,684,41,790,19
Ukraine,11913,502,1548,10077,272,7,288,9
Indonesia,11192,349,1876,8471,41,3,845,14
S. Korea,10793,13,9183,1360,211,5,250,0
Denmark,9523,116,6987,2052,1644,84,484,9
Serbia,9464,102,1551,7720,1083,22,193,4
Bangladesh,9455,665,1063,8215,57,1,177,2
Philippines,9223,295,1214,7402,84,6,607,4
Dominican Republic,7954,376,1606,6015,733,31,333,7
Norway,7847,38,32,7604,1447,39,211,0
Czechia,7781,26,3587,3946,727,23,248,3
Colombia,7668,383,1722,5606,151,7,340,16
Panama,7090,370,641,6252,1643,46,197,5
Australia,6801,20,5817,889,267,4,95,2
South Africa,6783,447,2549,4103,114,2,131,8
Egypt,6465,272,1562,4474,63,4,429,14
Malaysia,6298,122,4413,1780,195,3,105,2
Finland,5254,78,3000,2024,948,42,230,10
Kuwait,4983,364,1776,3169,1167,9,38,5
Morocco,4903,174,1438,3291,133,5,174,1
Argentina,4783,102,1354,3183,106,5,246,9
Algeria,4474,179,1936,2075,102,11,463,4
Moldova,4121,69,1382,2614,1022,31,125,1
Kazakhstan,3920,63,1084,2809,209,1,27,2
Luxembourg,3824,12,3379,349,6109,153,96,4
Bahrain,3383,99,1718,1657,1988,5,8,0
Hungary,2998,56,629,2029,310,35,340,5
Thailand,2969,3,2739,176,43,0.8,54,0
Afghanistan,2704,235,345,2274,69,2,85,13
Greece,2626,6,1374,1108,252,14,144,1
Oman,2568,85,750,1806,503,2,12,0
Nigeria,2558,170,400,2071,12,0.4,87,2
Armenia,2386,113,1035,1316,805,12,35,2
Iraq,2296,77,1490,709,57,2,97,2
Ghana,2169,0,229,1922,70,0.6,18,0
Uzbekistan,2149,31,1319,820,64,0.3,10,1
Croatia,2096,8,1489,528,511,19,79,2
Cameroon,2077,0,953,1060,78,2,64,0
Azerbaijan,1932,38,1441,466,191,2,25,0
Bosnia and Herzegovina,1857,18,825,955,566,23,77,5
Iceland,1799,1,1717,72,5272,29,10,0
Estonia,1700,1,259,1386,1282,41,55,2
Cuba,1649,38,827,755,146,6,67,1
Bulgaria,1618,24,308,1237,233,11,73,1
Guinea,1586,0,405,1174,121,0.5,7,0
North Macedonia,1511,5,945,482,725,40,84,2
New Zealand,1487,2,1266,201,308,4,20,0
Bolivia,1470,241,159,1240,126,6,71,5
Slovenia,1439,0,241,1102,692,46,96,2
Lithuania,1410,4,635,729,518,17,46,0
Slovakia,1408,1,619,765,258,4,24,0
Ivory Coast,1398,36,653,728,53,0.6,17,2
Senegal,1182,67,372,801,71,0.5,9,0
Djibouti,1112,0,686,424,1126,2,2,0
Hong Kong,1040,0,879,157,139,0.5,4,0
Tunisia,1013,4,328,643,86,4,42,0
Honduras,1010,111,116,818,102,8,76,1
Latvia,879,8,348,515,466,8,16,0
Cyprus,872,8,296,561,722,12,15,0
Albania,795,6,531,233,276,11,31,0
Kyrgyzstan,795,26,564,221,122,2,10,2
Niger,750,14,518,196,31,1,36,1
Andorra,748,1,493,210,9681,582,45,1
Costa Rica,739,6,386,347,145,1,6,0
Lebanon,737,4,200,512,108,4,25,0
Somalia,722,51,44,646,45,2,32,1
Sri Lanka,718,16,184,527,34,0.3,7,0
Diamond Princess,712,0,645,54,0,0,13,0
Guatemala,688,44,72,599,38,0.9,17,1
DRC,674,0,75,566,8,0.4,33,0
Burkina Faso,662,10,540,77,32,2,45,1
Uruguay,655,3,442,196,189,5,17,0
Mayotte,650,54,235,409,2383,22,6,0
Sudan,592,0,52,499,14,0.9,41,0
Georgia,589,7,221,359,148,2,9,1
San Marino,582,2,86,455,17152,1208,41,0
Mali,563,19,213,323,28,1,27,1
Channel Islands,544,0,406,97,3129,236,41,0
Maldives,527,8,18,508,975,2,1,0
El Salvador,490,44,154,325,76,2,11,0
Tanzania,480,0,167,297,8,0.3,16,0
Malta,477,9,392,81,1080,9,4,0
Kenya,465,30,167,274,9,0.4,24,2
Jamaica,463,31,33,422,156,3,8,0
Jordan,461,1,367,85,45,0.9,9,0
Taiwan,432,0,332,94,18,0.3,6,0
Réunion,423,0,300,123,472,0,0,0
Paraguay,370,37,119,241,52,1,10,0
Venezuela,357,12,148,199,13,0.4,10,0
Palestine,353,0,77,274,69,0.4,2,0
Gabon,335,0,85,245,151,2,5,0
Mauritius,332,0,315,7,261,8,10,0
Montenegro,322,0,249,65,513,13,8,0
Isle of Man,321,1,271,28,3775,259,22,0
Equatorial Guinea,315,0,9,305,225,0.7,1,0
Vietnam,271,1,219,52,3,0,0,0
Rwanda,259,4,124,135,20,0,0,0
Guinea-Bissau,257,0,19,237,131,0.5,1,0
Congo,229,0,25,195,41,2,9,0
Faeroe Islands,187,0,185,2,3827,0,0,0
Martinique,179,0,83,82,477,37,14,0
Sierra Leone,166,11,29,129,21,1,8,0
Cabo Verde,165,13,33,130,297,4,2,0
Liberia,158,4,58,82,31,4,18,0
Myanmar,155,4,43,106,3,0.1,6,0
Guadeloupe,152,0,95,45,380,30,12,0
Madagascar,149,14,98,51,5,0,0,0
Gibraltar,144,0,132,12,4274,0,0,0
Brunei ,138,0,128,9,315,2,1,0
Ethiopia,135,2,75,57,1,0.03,3,0
Tajikistan,128,52,0,126,13,0.2,2,0
French Guiana,128,0,98,29,429,3,1,0
Togo,124,1,67,48,15,1,9,0
Zambia,124,5,78,43,7,0.2,3,0
Cambodia,122,0,120,2,7,0,0,0
Chad,117,0,39,68,7,0.6,10,0
Trinidad and Tobago,116,0,88,20,83,6,8,0
Bermuda,115,1,51,57,1847,112,7,0
Eswatini,112,4,12,99,97,0.9,1,0
Aruba,100,0,81,17,937,19,2,0
Monaco,95,0,78,13,2421,102,4,0
Benin,90,0,42,46,7,0.2,2,0
Uganda,89,1,52,37,2,0,0,0
Haiti,85,0,10,67,7,0.7,8,0
Bahamas,83,0,24,48,211,28,11,0
Guyana,82,0,22,51,104,11,9,0
Liechtenstein,82,0,55,26,2151,26,1,0
Barbados,81,0,44,30,282,24,7,0
Mozambique,80,1,19,61,3,0,0,0
Sint Maarten,76,0,44,19,1773,303,13,0
Nepal,75,16,16,59,3,0,0,0
Cayman Islands,74,0,10,63,1126,15,1,0
CAR,72,0,10,62,15,0,0,0
Libya,63,0,22,38,9,0.4,3,0
French Polynesia,58,0,51,7,206,0,0,0
South Sudan,46,1,0,46,4,0,0,0
Macao,45,0,39,6,69,0,0,0
Syria,44,0,27,14,3,0.2,3,0
Malawi,39,1,9,27,2,0.2,3,0
Eritrea,39,0,26,13,11,0,0,0
Mongolia,39,0,10,29,12,0,0,0
Saint Martin,38,0,27,8,983,78,3,0
Angola,35,0,11,22,1,0.06,2,0
Zimbabwe,34,0,5,25,2,0.3,4,0
Antigua and Barbuda,25,0,15,7,255,31,3,0
Timor-Leste,24,0,16,8,18,0,0,0
Botswana,23,0,8,14,10,0.4,1,0
Grenada,21,0,13,8,187,0,0,0
Laos,19,0,9,10,3,0,0,0
Belize,18,0,13,3,45,5,2,0
Fiji,18,0,14,4,20,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Saint Lucia,18,1,15,3,98,0,0,0
Gambia,17,0,9,7,7,0.4,1,0
Curaçao,16,0,13,2,98,6,1,0
Sao Tome and Principe,16,0,4,11,73,5,1,0
Dominica,16,0,13,3,222,0,0,0
Namibia,16,0,8,8,6,0,0,0
St. Vincent Grenadines,16,0,8,8,144,0,0,0
Burundi,15,0,7,7,1,0.08,1,0
Saint Kitts and Nevis,15,0,8,7,282,0,0,0
Nicaragua,14,0,7,4,2,0.5,3,0
Falkland Islands,13,0,13,0,3736,0,0,0
Turks and Caicos,12,0,5,6,310,26,1,0
Montserrat,11,0,7,3,2204,200,1,0
Greenland,11,0,11,0,194,0,0,0
Vatican City,11,0,2,9,13733,0,0,0
Seychelles,11,0,6,5,112,0,0,0
Yemen,10,0,1,7,0.3,0.07,2,0
Suriname,10,0,9,0,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Mauritania,8,0,6,1,2,0.2,1,0
Papua New Guinea,8,0,0,8,0.9,0,0,0
Bhutan,7,0,5,2,9,0,0,0
British Virgin Islands,6,0,3,2,198,33,1,0
Caribbean Netherlands,6,0,0,6,229,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
Anguilla,3,0,3,0,200,0,0,0
Comoros,3,0,0,3,3,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
China,82881,1,77853,395,58,3,4633,0
USA,1237633,24798,200626,964736,3739,218,72271,2350
Spain,250561,2260,154718,70230,5359,548,25613,185
Italy,213013,1075,85231,98467,3523,485,29315,236
UK,194990,4406,0,165219,2872,433,29427,693
France,170551,1089,52736,92284,2613,391,25531,330
Germany,167007,855,135100,24914,1993,83,6993,0
Russia,155370,10102,19865,134054,1065,10,1451,95
Turkey,129491,1832,73285,52686,1535,42,3520,59
Brazil,114715,6449,48221,58573,540,37,7921,578
Iran,99970,1323,80475,13155,1190,75,6340,63
Canada,62046,1274,26993,31010,1644,107,4043,189
Peru,51189,3817,15413,34332,1553,44,1444,100
Belgium,50509,242,12441,30052,4358,692,8016,92
India,49400,2963,14142,33565,36,1,1693,127
Netherlands,41087,317,0,35669,2398,302,5168,86
Ecuador,31881,0,3433,26879,1807,89,1569,0
Saudi Arabia,30251,1595,5431,24620,869,6,200,9
Switzerland,30009,28,25400,2814,3467,207,1795,11
Portugal,25702,178,1743,22885,2521,105,1074,11
Mexico,24905,1434,15938,6696,193,18,2271,117
Sweden,23216,495,4074,16288,2299,283,2854,85
Pakistan,22049,1108,5801,15734,100,2,514,38
Chile,22016,1373,10710,11031,1152,14,275,5
Ireland,21983,211,13386,7258,4452,271,1339,20
Singapore,19410,632,1519,17873,3318,3,18,0
Belarus,18350,861,3771,14472,1942,11,107,4
Qatar,17142,951,1924,15206,5950,4,12,0
Israel,16289,43,10465,5586,1882,27,238,3
Austria,15650,29,13462,1582,1738,67,606,6
Japan,15253,175,4496,10201,121,4,556,20
UAE,15192,462,3153,11893,1536,15,146,9
Poland,14431,425,4280,9435,381,19,716,18
Romania,13837,325,5454,7542,719,44,841,23
Ukraine,12697,366,1875,10506,290,7,316,13
Indonesia,12071,484,2197,9002,44,3,872,8
Bangladesh,10929,786,1403,9343,66,1,183,1
S. Korea,10804,3,9283,1267,211,5,254,2
Denmark,9821,151,7296,2022,1696,87,503,10
Philippines,9684,199,1408,7639,88,6,637,14
Serbia,9677,120,1723,7754,1108,23,200,3
Colombia,8613,640,2013,6222,169,7,378,20
Dominican Republic,8480,245,1905,6221,782,33,354,8
Norway,7955,51,32,7708,1467,40,215,1
Czechia,7896,77,4006,3633,737,24,257,5
South Africa,7572,352,2746,4678,128,2,148,10
Panama,7387,190,726,6458,1712,47,203,3
Egypt,7201,388,1730,5019,70,4,452,16
Australia,6849,24,5889,864,269,4,96,1
Malaysia,6383,30,4567,1710,197,3,106,1
Kuwait,5804,526,2032,3732,1359,9,40,0
Finland,5412,85,3500,1666,977,44,246,6
Morocco,5219,166,1838,3200,141,5,181,2
Argentina,5020,133,1472,3284,111,6,264,4
Algeria,4838,190,2067,2301,110,11,470,5
Moldova,4363,115,1544,2683,1082,34,136,4
Kazakhstan,4205,156,1279,2897,224,2,29,0
Luxembourg,3840,12,3412,332,6134,153,96,0
Bahrain,3720,187,1762,1950,2186,5,8,0
Afghanistan,3224,330,421,2708,83,2,95,5
Hungary,3065,30,709,1993,317,38,363,12
Thailand,2988,1,2747,187,43,0.8,54,0
Nigeria,2950,148,481,2371,14,0.5,98,5
Oman,2735,98,858,1864,536,3,13,1
Ghana,2719,0,294,2407,88,0.6,18,0
Greece,2642,10,1374,1122,253,14,146,0
Armenia,2619,112,1111,1468,884,13,40,1
Iraq,2431,85,1571,758,60,3,102,4
Uzbekistan,2207,18,1501,696,66,0.3,10,0
Croatia,2112,11,1560,469,514,20,83,3
Cameroon,2104,0,953,1087,79,2,64,0
Azerbaijan,2060,76,1508,526,203,3,26,0
Bosnia and Herzegovina,1946,20,911,956,593,24,79,1
Guinea,1811,101,498,1303,138,0.8,10,1
Iceland,1799,0,1733,56,5272,29,10,0
Estonia,1711,8,261,1395,1290,41,55,0
Bulgaria,1704,52,342,1282,245,12,80,2
Cuba,1685,17,954,662,149,6,69,0
Bolivia,1681,87,174,1425,144,7,82,6
North Macedonia,1526,8,1013,427,732,41,86,1
New Zealand,1486,0,1302,164,308,4,20,0
Ivory Coast,1464,32,701,745,56,0.7,18,1
Slovenia,1445,6,244,1103,695,47,98,1
Lithuania,1423,4,678,699,523,17,46,0
Slovakia,1421,8,741,655,260,5,25,0
Senegal,1329,58,470,848,79,0.7,11,1
Honduras,1178,123,122,973,119,8,83,1
Djibouti,1120,4,745,373,1134,2,2,0
Hong Kong,1041,0,920,117,139,0.5,4,0
Tunisia,1022,4,482,497,86,4,43,0
Latvia,896,0,348,531,475,9,17,1
Cyprus,878,4,296,567,727,12,15,0
Kyrgyzstan,843,13,600,232,129,2,11,1
Somalia,835,79,75,722,53,2,38,3
Albania,820,17,570,219,285,11,31,0
Sudan,778,100,70,663,18,1,45,4
Sri Lanka,771,20,213,549,36,0.4,9,1
Niger,763,8,543,182,32,2,38,1
Costa Rica,755,13,413,336,148,1,6,0
Andorra,751,1,514,191,9720,595,46,1
Lebanon,741,1,206,510,109,4,25,0
Mayotte,739,53,352,378,2709,33,9,3
Guatemala,730,27,79,632,41,1,19,2
Diamond Princess,712,0,645,54,0,0,13,0
DRC,705,23,90,581,8,0.4,34,0
Burkina Faso,688,16,548,92,33,2,48,2
Uruguay,670,13,468,185,193,5,17,0
Mali,612,32,228,352,30,2,32,3
Georgia,604,11,240,355,151,2,9,0
San Marino,589,7,92,456,17359,1208,41,0
El Salvador,587,32,201,373,90,2,13,0
Maldives,573,32,20,551,1060,4,2,1
Channel Islands,545,1,406,99,3135,230,40,0
Kenya,535,45,182,329,10,0.4,24,0
Malta,482,2,403,74,1092,11,5,1
Tanzania,480,0,167,297,8,0.3,16,0
Jamaica,471,2,49,413,159,3,9,0
Jordan,471,6,375,87,46,0.9,9,0
Taiwan,438,0,334,98,18,0.3,6,0
Paraguay,431,35,135,286,60,1,10,0
Réunion,424,0,300,124,474,0,0,0
Guinea-Bissau,413,0,19,393,210,0.5,1,0
Gabon,397,30,93,298,178,3,6,0
Palestine,371,9,127,242,73,0.4,2,0
Venezuela,361,4,158,193,13,0.4,10,0
Mauritius,332,0,319,3,261,8,10,0
Isle of Man,326,1,271,32,3834,270,23,0
