Countries,Total Cases,New Cases,Total Recovered,Active Cases,Total Cases Per Million,Death per million,Total Deaths,New Deaths
Montenegro,324,1,253,63,516,13,8,0
Equatorial Guinea,315,0,13,299,225,2,3,0
Tajikistan,293,63,0,288,31,0.5,5,2
Vietnam,271,0,232,39,3,0,0,0
Rwanda,261,0,129,132,20,0,0,0
Congo,236,0,26,200,43,2,10,0
Sierra Leone,199,21,43,145,25,1,11,2
Faeroe Islands,187,0,185,2,3827,0,0,0
Cabo Verde,186,11,37,147,335,4,2,0
Martinique,181,0,83,84,482,37,14,0
Sao Tome and Principe,174,151,4,167,794,14,3,0
Liberia,170,4,58,92,34,4,20,2
Chad,170,53,43,110,10,1,17,7
Myanmar,161,0,49,106,3,0.1,6,0
Guadeloupe,152,0,98,42,380,30,12,0
Madagascar,151,2,101,50,5,0,0,0
Ethiopia,145,5,91,50,1,0.03,4,1
Gibraltar,144,0,133,11,4274,0,0,0
Zambia,138,1,92,43,8,0.2,3,0
Brunei ,138,0,131,6,315,2,1,0
French Guiana,133,0,100,32,445,3,1,0
Togo,128,2,74,45,15,1,9,0
Cambodia,122,0,120,2,7,0,0,0
Eswatini,119,3,12,106,103,0.9,1,0
Trinidad and Tobago,116,0,102,6,83,6,8,0
Bermuda,115,0,54,54,1847,112,7,0
Haiti,101,1,10,79,9,1,12,1
Aruba,101,1,82,17,946,19,2,0
Uganda,98,1,55,43,2,0,0,0
Benin,96,0,50,44,8,0.2,2,0
Monaco,95,0,81,10,2421,102,4,0
Guyana,92,0,27,56,117,11,9,0
Bahamas,89,6,26,52,226,28,11,0
CAR,85,0,10,75,18,0,0,0
Barbados,82,0,47,28,285,24,7,0
Liechtenstein,82,0,55,26,2151,26,1,0
Nepal,82,7,16,66,3,0,0,0
Mozambique,81,1,19,62,3,0,0,0
Sint Maarten,76,0,44,18,1773,327,14,1
Cayman Islands,75,0,14,60,1141,15,1,0
Libya,63,0,23,37,9,0.4,3,0
French Polynesia,60,2,54,6,214,0,0,0
South Sudan,52,6,0,52,5,0,0,0
Macao,45,0,39,6,69,0,0,0
Syria,44,0,27,14,3,0.2,3,0
Malawi,41,0,9,29,2,0.2,3,0
Mongolia,41,1,13,28,13,0,0,0
Eritrea,39,0,30,9,11,0,0,0
Saint Martin,38,0,29,6,983,78,3,0
Angola,36,1,11,23,1,0.06,2,0
Zimbabwe,34,0,5,25,2,0.3,4,0
Antigua and Barbuda,25,0,16,6,255,31,3,0
Timor-Leste,24,0,20,4,18,0,0,0
Botswana,23,0,8,14,10,0.4,1,0
Yemen,22,10,1,17,0.7,0.1,4,2
Grenada,21,0,13,8,187,0,0,0
Laos,19,0,9,10,3,0,0,0
Belize,18,0,16,0,45,5,2,0
Fiji,18,0,14,4,20,0,0,0
New Caledonia,18,0,17,1,63,0,0,0
Saint Lucia,18,0,15,3,98,0,0,0
Gambia,17,0,9,7,7,0.4,1,0
St. Vincent Grenadines,17,0,9,8,153,0,0,0
Nicaragua,16,1,7,4,2,0.8,5,0
Curaçao,16,0,13,2,98,6,1,0
Dominica,16,0,14,2,222,0,0,0
Namibia,16,0,8,8,6,0,0,0
Burundi,15,0,7,7,1,0.08,1,0
Saint Kitts and Nevis,15,0,12,3,282,0,0,0
Falkland Islands,13,0,13,0,3736,0,0,0
Turks and Caicos,12,0,6,5,310,26,1,0
Montserrat,11,0,7,3,2204,200,1,0
Greenland,11,0,11,0,194,0,0,0
Vatican City,11,0,2,9,13733,0,0,0
Seychelles,11,0,8,3,112,0,0,0
Suriname,10,0,9,0,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Mauritania,8,0,6,1,2,0.2,1,0
Papua New Guinea,8,0,8,0,0.9,0,0,0
British Virgin Islands,7,1,3,3,232,33,1,0
Bhutan,7,0,5,2,9,0,0,0
Caribbean Netherlands,6,0,0,6,229,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
Anguilla,3,0,3,0,200,0,0,0
Comoros,3,0,0,3,3,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
China,82886,1,77993,260,58,3,4633,0
USA,1321785,29162,223603,1019567,3993,238,78615,1687
Spain,260117,3262,168408,65410,5563,562,26299,229
Italy,217185,1327,99023,87961,3592,500,30201,243
UK,211364,4649,0,179779,3114,460,31241,626
Russia,187859,10699,26608,159528,1287,12,1723,98
France,176079,1288,55782,94067,2698,402,26230,243
Germany,170588,1158,141700,21378,2036,90,7510,118
Brazil,145892,10199,59297,76603,686,47,9992,804
Turkey,135569,1848,86396,45484,1607,44,3689,48
Iran,104691,1556,83837,14313,1246,78,6541,55
Canada,66434,1512,30406,31459,1760,121,4569,161
Peru,61847,3321,19012,41121,1876,52,1714,87
India,59695,3344,17887,39823,43,1,1985,96
Belgium,52011,591,13201,30289,4488,735,8521,106
Netherlands,42093,319,0,36484,2457,313,5359,71
Saudi Arabia,35432,1701,9120,26083,1018,7,229,10
Switzerland,30207,81,26100,2284,3490,211,1823,13
Mexico,29616,1982,17781,8874,230,23,2961,257
Ecuador,28818,0,3433,23681,1633,97,1704,50
Portugal,27268,553,2422,23732,2674,109,1114,9
Pakistan,26435,1791,7530,18306,120,3,599,14
Chile,25972,1391,12160,13518,1359,15,294,9
Sweden,25265,642,4971,17119,2502,314,3175,135
Ireland,22541,156,17110,4002,4565,289,1429,26
Singapore,21707,768,2040,19647,3710,3,20,0
Belarus,21101,933,5484,15496,2233,13,121,5
Qatar,20201,1311,2370,17819,7012,4,12,0
UAE,16793,553,3837,12782,1698,18,174,9
Israel,16436,55,11229,4962,1899,28,245,5
Austria,15774,22,13836,1324,1751,68,614,5
Japan,15575,98,5146,9839,123,5,590,13
Poland,15366,319,5184,9406,406,21,776,21
Romania,14811,312,6423,7465,770,48,923,35
Ukraine,14195,504,2706,11128,325,8,361,21
Bangladesh,13134,709,2101,10827,80,1,206,7
Indonesia,13112,336,2494,9675,48,3,943,13
S. Korea,10822,12,9484,1082,211,5,256,0
Philippines,10463,120,1734,8033,95,6,696,11
Denmark,10218,135,7927,1769,1764,90,522,8
Colombia,10051,595,2424,7199,198,8,428,21
Serbia,9943,95,2453,7281,1138,24,209,3
Dominican Republic,9376,281,2286,6710,864,35,380,7
South Africa,8895,663,3153,5564,150,3,178,17
Egypt,8476,495,1945,6028,83,5,503,21
Czechia,8077,46,4413,3391,754,25,273,3
Norway,8070,36,32,7820,1489,40,218,1
Panama,7868,137,886,6757,1824,52,225,7
Kuwait,7208,641,2466,4695,1688,11,47,3
Australia,6914,18,6079,738,271,4,97,0
Malaysia,6535,68,4864,1564,202,3,107,0
Finland,5738,65,4000,1478,1036,47,260,5
Morocco,5711,163,2324,3201,155,5,186,3
Argentina,5611,240,1659,3659,124,6,293,11
Algeria,5369,187,2467,2414,122,11,488,5
Kazakhstan,4834,256,1631,3172,257,2,31,1
Moldova,4728,123,1826,2752,1172,37,150,5
Bahrain,4444,245,2028,2408,2612,5,8,0
Ghana,4012,921,323,3671,129,0.6,18,0
Nigeria,3912,386,679,3116,19,0.6,117,10
Luxembourg,3871,12,3526,245,6184,160,100,0
Afghanistan,3778,215,472,3197,97,3,109,3
Hungary,3178,28,865,1921,329,41,392,9
Oman,3112,154,1025,2071,609,3,16,1
Armenia,3029,145,1218,1768,1022,15,43,1
Thailand,3000,8,2784,161,43,0.8,55,0
Greece,2691,13,1374,1167,258,14,150,2
Iraq,2603,60,1661,838,65,3,104,2
Uzbekistan,2325,27,1775,540,69,0.3,10,0
Azerbaijan,2279,75,1576,675,225,3,28,0
Cameroon,2267,0,1002,1157,85,4,108,0
Croatia,2161,36,1689,386,526,21,86,0
Bolivia,2081,195,219,1760,178,9,102,11
Bosnia and Herzegovina,2070,43,960,1012,631,30,98,8
Guinea,2009,82,663,1335,153,0.8,11,0
Bulgaria,1872,43,401,1385,269,12,86,2
Iceland,1801,0,1765,26,5278,29,10,0
Cuba,1741,12,1078,589,154,7,74,1
Estonia,1725,5,704,965,1300,42,56,0
Honduras,1685,224,154,1426,170,11,105,6
Ivory Coast,1602,31,754,828,61,0.8,20,0
North Macedonia,1586,14,1099,397,761,43,90,1
Senegal,1551,59,611,927,93,0.8,13,0
New Zealand,1490,1,1347,122,309,4,21,0
Slovakia,1455,10,905,524,267,5,26,0
Slovenia,1450,1,252,1098,697,48,100,1
Lithuania,1436,3,765,622,527,18,49,0
Djibouti,1135,2,824,308,1149,3,3,0
Sudan,1111,181,102,950,25,1,59,7
Hong Kong,1045,0,960,81,139,0.5,4,0
Tunisia,1030,4,638,347,87,4,45,1
Somalia,928,0,106,778,58,3,44,0
Latvia,928,19,464,446,492,10,18,0
Kyrgyzstan,906,11,650,244,139,2,12,0
Cyprus,891,2,400,476,738,12,15,0
DRC,863,0,130,697,10,0.4,36,0
Mayotte,854,0,352,492,3130,37,10,0
Albania,850,8,620,199,295,11,31,0
Sri Lanka,835,12,240,586,39,0.4,9,0
Guatemala,832,34,90,719,46,1,23,2
Lebanon,796,12,223,547,117,4,26,1
Niger,795,14,600,151,33,2,44,2
Costa Rica,773,8,461,306,152,1,6,0
Andorra,752,0,537,168,9733,608,47,0
Burkina Faso,744,8,566,130,36,2,48,0
Maldives,744,96,20,721,1376,6,3,0
El Salvador,742,47,257,469,114,2,16,1
Diamond Princess,712,0,645,54,0,0,13,0
Uruguay,694,10,506,170,200,5,18,1
Mali,668,18,285,348,33,2,35,3
San Marino,623,1,114,468,18361,1208,41,0
Georgia,623,8,288,325,156,3,10,1
Kenya,621,14,202,390,12,0.5,29,0
Gabon,620,116,110,502,279,4,8,0
Guinea-Bissau,594,30,25,567,302,1,2,0
Paraguay,563,101,152,401,79,1,10,0
Channel Islands,545,0,447,57,3135,236,41,1
Tajikistan,522,61,0,510,55,1,12,0
Tanzania,509,29,183,305,9,0.4,21,5
Jordan,508,14,385,114,50,0.9,9,0
Malta,489,3,419,65,1107,11,5,0
Jamaica,488,10,58,421,165,3,9,0
Taiwan,440,0,355,79,18,0.3,6,0
Equatorial Guinea,439,0,13,422,313,3,4,0
Réunion,426,0,354,72,476,0,0,0
Venezuela,388,7,190,188,14,0.4,10,0
Palestine,375,0,228,145,74,0.4,2,0
Mauritius,332,0,320,2,261,8,10,0
Isle of Man,329,0,271,35,3869,270,23,0
Montenegro,324,0,267,49,516,13,8,0
Vietnam,288,0,241,47,3,0,0,0
Congo,274,10,33,231,50,2,10,0
Rwanda,273,2,136,137,21,0,0,0
Chad,260,7,50,182,16,2,28,1
Sierra Leone,257,26,54,186,32,2,17,1
Benin,242,102,62,178,20,0.2,2,0
Cabo Verde,230,12,44,184,414,4,2,0
Sao Tome and Principe,208,21,4,199,949,23,5,1
Liberia,199,10,79,100,39,4,20,0
Ethiopia,194,3,95,95,2,0.03,4,0
Madagascar,193,0,101,92,7,0,0,0
Faeroe Islands,187,0,187,0,3827,0,0,0
Martinique,186,3,83,89,496,37,14,0
Myanmar,177,1,67,104,3,0.1,6,0
Zambia,167,14,111,52,9,0.2,4,0
Eswatini,159,6,12,145,137,2,2,0
Guadeloupe,154,1,104,37,385,32,13,0
Haiti,146,17,17,117,13,1,12,0
Gibraltar,146,2,142,4,4334,0,0,0
Togo,145,10,85,50,18,1,10,1
CAR,143,49,10,133,30,0,0,0
Brunei ,141,0,132,8,322,2,1,0
French Guiana,141,3,113,27,472,3,1,0
Cambodia,122,0,120,2,7,0,0,0
South Sudan,120,46,2,118,11,0,0,0
Bermuda,118,0,61,50,1895,112,7,0
Trinidad and Tobago,116,0,103,5,83,6,8,0
Nepal,102,1,31,71,4,0,0,0
Aruba,101,0,89,9,946,28,3,0
Uganda,101,0,55,46,2,0,0,0
Monaco,95,0,82,9,2421,102,4,0
Guyana,94,1,34,50,120,13,10,0
Bahamas,92,0,31,50,234,28,11,0
Barbados,83,1,53,23,289,24,7,0
Liechtenstein,82,0,55,26,2151,26,1,0
Mozambique,82,1,27,55,3,0,0,0
Cayman Islands,81,1,41,39,1232,15,1,0
Sint Maarten,76,0,44,18,1773,327,14,0
Libya,64,0,24,37,9,0.4,3,0
French Polynesia,60,0,56,4,214,0,0,0
Syria,47,2,29,15,3,0.2,3,0
Macao,45,0,40,5,69,0,0,0
Malawi,43,0,14,26,2,0.2,3,0
Angola,43,7,11,30,1,0.06,2,0
Mongolia,42,1,13,29,13,0,0,0
Eritrea,39,0,37,2,11,0,0,0
Saint Martin,38,0,30,5,983,78,3,0
Yemen,34,9,1,26,1,0.2,7,2
Zimbabwe,34,0,9,21,2,0.3,4,0
Antigua and Barbuda,25,0,16,6,255,31,3,0
Timor-Leste,24,0,21,3,18,0,0,0
Botswana,23,0,9,13,10,0.4,1,0
Grenada,21,0,13,8,187,0,0,0
Gambia,20,2,9,10,8,0.4,1,0
Laos,19,0,9,10,3,0,0,0
Belize,18,0,16,0,45,5,2,0
Fiji,18,0,14,4,20,0,0,0
New Caledonia,18,0,18,0,63,0,0,0
Saint Lucia,18,0,17,1,98,0,0,0
St. Vincent Grenadines,17,0,9,8,153,0,0,0
Nicaragua,16,0,7,4,2,0.8,5,0
Curaçao,16,0,14,1,98,6,1,0
Dominica,16,0,14,2,222,0,0,0
Namibia,16,0,9,7,6,0,0,0
Burundi,15,0,7,7,1,0.08,1,0
Saint Kitts and Nevis,15,0,13,2,282,0,0,0
Falkland Islands,13,0,13,0,3736,0,0,0
Turks and Caicos,12,0,8,3,310,26,1,0
Vatican City,12,0,2,10,14981,0,0,0
Montserrat,11,0,8,2,2204,200,1,0
Greenland,11,0,11,0,194,0,0,0
Seychelles,11,0,8,3,112,0,0,0
Suriname,10,0,9,0,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Comoros,8,0,0,7,9,1,1,0
Mauritania,8,0,6,1,2,0.2,1,0
Papua New Guinea,8,0,8,0,0.9,0,0,0
British Virgin Islands,7,0,3,3,232,33,1,0
Bhutan,7,0,5,2,9,0,0,0
Caribbean Netherlands,6,0,0,6,229,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
Anguilla,3,0,3,0,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
China,82887,1,78046,208,58,3,4633,0
USA,1347309,25524,238078,1029194,4070,242,80037,1422
Spain,262783,2666,173157,63148,5620,566,26478,179
Italy,218268,1083,103031,84842,3610,503,30395,194
UK,215260,3896,0,183329,3171,465,31587,346
Russia,198676,10817,31916,164933,1361,13,1827,104
France,176658,579,56038,94310,2706,403,26310,80
Germany,171324,736,143300,20475,2045,90,7549,39
Brazil,156061,10169,61685,83720,734,50,10656,664
Turkey,137115,1546,89480,43896,1626,44,3739,50
Iran,106220,1529,85064,14567,1265,78,6589,48
Canada,67702,1268,31249,31760,1794,124,4693,124
Peru,65015,3168,20246,42955,1972,55,1814,100
India,62808,3113,19301,41406,46,2,2101,116
Belgium,52596,585,13411,30604,4538,740,8581,60
Netherlands,42382,289,0,36710,2473,316,5422,63
Saudi Arabia,37136,1704,10144,26753,1067,7,239,10
Mexico,31522,1906,20314,8048,244,25,3160,199
Switzerland,30251,44,26400,2021,3495,211,1830,7
Ecuador,29071,253,3433,23921,1648,97,1717,13
Pakistan,28736,2301,7809,20291,130,3,636,37
Portugal,27406,138,2499,23781,2688,110,1126,12
Chile,27219,1247,12667,14248,1424,16,304,10
Sweden,25921,656,4971,17730,2567,319,3220,45
Ireland,22760,219,17110,4204,4609,293,1446,17
Singapore,22460,753,2296,20144,3839,3,20,0
Belarus,22052,951,6050,15876,2334,13,126,5
Qatar,21331,1130,2449,18869,7404,5,13,1
UAE,17417,624,4295,12937,1761,19,185,11
Israel,16454,18,11376,4831,1901,29,247,2
Austria,15833,59,13928,1290,1758,68,615,1
Japan,15663,88,5906,9150,124,5,607,17
Poland,15651,285,5437,9429,414,21,785,9
Romania,15131,320,6912,7280,787,49,939,16
Ukraine,14710,515,2909,11425,336,9,376,15
Bangladesh,13770,636,2414,11142,84,1,214,8
Indonesia,13645,533,2607,10079,50,4,959,16
S. Korea,10840,18,9568,1016,211,5,256,0
Philippines,10610,147,1842,8064,97,6,704,8
Colombia,10495,444,2569,7481,206,9,445,17
Denmark,10319,101,8093,1700,1782,91,526,4
Serbia,10032,89,2732,7087,1148,24,213,4
Dominican Republic,9882,506,2584,6913,911,35,385,5
South Africa,9420,525,3983,5251,159,3,186,8
Egypt,8964,488,2002,6448,88,5,514,11
Norway,8099,29,32,7848,1494,40,219,1
Czechia,8095,18,4447,3372,756,26,276,3
Panama,8070,202,886,6953,1870,54,231,6
Kuwait,7623,415,2622,4952,1785,11,49,2
Australia,6929,15,6135,697,272,4,97,0
Malaysia,6589,54,4929,1552,204,3,108,1
Morocco,5910,199,2461,3263,160,5,186,0
Finland,5880,142,4000,1615,1061,48,265,5
Argentina,5776,165,1728,3748,128,7,300,7
Algeria,5558,189,2546,2518,127,11,494,6
Kazakhstan,4975,141,1776,3168,265,2,31,0
Moldova,4867,139,1925,2781,1207,40,161,11
Bahrain,4774,330,2055,2711,2806,5,8,0
Ghana,4263,251,378,3863,137,0.7,22,4
Nigeria,4151,239,745,3278,20,0.6,128,11
Afghanistan,4033,255,502,3416,104,3,115,6
Luxembourg,3877,6,3550,226,6194,161,101,1
Oman,3224,112,1068,2139,631,3,17,1
Hungary,3213,35,904,1904,333,42,405,13
Armenia,3175,146,1267,1864,1071,15,44,1
Thailand,3004,4,2787,161,43,0.8,56,1
Greece,2710,19,1374,1185,260,14,151,1
Iraq,2679,76,1702,870,67,3,107,3
Azerbaijan,2422,143,1620,771,239,3,31,3
Uzbekistan,2349,24,1846,493,70,0.3,10,0
Cameroon,2274,7,1232,934,86,4,108,0
Bolivia,2266,185,237,1923,194,9,106,4
Croatia,2176,15,1726,363,530,21,87,1
Bosnia and Herzegovina,2090,20,1059,929,637,31,102,4
Guinea,2042,33,698,1333,155,0.8,11,0
Bulgaria,1921,49,422,1409,276,13,90,4
Iceland,1801,0,1773,18,5278,29,10,0
Honduras,1771,86,192,1472,179,11,107,2
Cuba,1754,13,1140,540,155,7,74,0
Estonia,1733,8,747,926,1306,45,60,4
Ivory Coast,1667,65,769,877,63,0.8,21,1
Senegal,1634,83,643,974,98,1,17,4
North Macedonia,1622,36,1112,419,779,44,91,1
New Zealand,1492,2,1368,103,309,4,21,0
Slovakia,1455,0,919,510,267,5,26,0
Slovenia,1454,4,255,1098,699,49,101,1
Lithuania,1444,8,828,567,530,18,49,0
Djibouti,1189,54,834,352,1203,3,3,0
Sudan,1164,53,119,981,27,1,64,5
Hong Kong,1045,0,967,74,139,0.5,4,0
Tunisia,1032,2,660,327,87,4,45,0
Somalia,997,69,110,839,63,3,48,4
Mayotte,988,134,492,485,3622,40,11,1
DRC,937,74,130,768,10,0.4,39,3
Kyrgyzstan,931,25,658,261,143,2,12,0
Latvia,930,2,464,448,493,10,18,0
Guatemala,900,68,101,775,50,1,24,1
Cyprus,892,1,401,476,739,12,15,0
Albania,856,6,627,198,297,11,31,0
Sri Lanka,847,12,260,578,40,0.4,9,0
Niger,815,20,617,153,34,2,45,1
Lebanon,809,13,234,549,119,4,26,0
Maldives,790,46,29,758,1461,6,3,0
El Salvador,784,42,276,491,121,3,17,1
Costa Rica,780,7,480,294,153,1,6,0
Andorra,754,2,545,161,9759,621,48,1
Burkina Faso,748,4,569,131,36,2,48,0
Diamond Princess,712,0,645,54,0,0,13,0
Uruguay,702,8,513,171,202,5,18,0
Mali,692,24,298,357,34,2,37,2
Paraguay,689,126,155,524,97,1,10,0
Gabon,661,41,110,543,297,4,8,0
Kenya,649,28,207,412,12,0.6,30,1
Guinea-Bissau,641,47,25,613,326,2,3,1
San Marino,637,14,126,470,18773,1208,41,0
Georgia,626,3,297,319,157,3,10,0
Tajikistan,612,90,0,592,64,2,20,8
Channel Islands,545,0,447,57,3135,236,41,0
Jordan,522,14,387,126,51,0.9,9,0
Tanzania,509,0,183,305,9,0.4,21,0
Jamaica,490,2,62,419,165,3,9,0
Malta,490,1,427,58,1110,11,5,0
Taiwan,440,0,361,73,18,0.3,6,0
Equatorial Guinea,439,0,13,422,313,3,4,0
Réunion,431,5,354,77,481,0,0,0
Venezuela,402,14,190,202,14,0.4,10,0
Palestine,375,0,228,145,74,0.4,2,0
Mauritius,332,0,320,2,261,8,10,0
Isle of Man,329,0,271,35,3869,270,23,0
Montenegro,324,0,274,42,516,13,8,0
Chad,322,62,53,238,20,2,31,3
Sierra Leone,291,34,58,215,36,2,18,1
Vietnam,288,0,241,47,3,0,0,0
Benin,284,42,62,220,23,0.2,2,0
Rwanda,280,7,140,140,22,0,0,0
Congo,274,0,33,231,50,2,10,0
Zambia,252,85,112,133,14,0.4,7,3
Cabo Verde,236,6,56,178,424,4,2,0
Ethiopia,210,16,97,108,2,0.04,5,1
Sao Tome and Principe,208,0,4,199,949,23,5,0
Liberia,199,0,79,100,39,4,20,0
Madagascar,193,0,101,92,7,0,0,0
Faeroe Islands,187,0,187,0,3827,0,0,0
Martinique,186,0,83,89,496,37,14,0
Myanmar,178,1,68,104,3,0.1,6,0
Eswatini,163,4,14,147,140,2,2,0
Guadeloupe,154,0,104,37,385,32,13,0
Togo,153,8,87,56,18,1,10,0
Haiti,151,5,17,122,13,1,12,0
Gibraltar,146,0,142,4,4334,0,0,0
CAR,143,0,10,133,30,0,0,0
Brunei ,141,0,132,8,322,2,1,0
French Guiana,141,0,119,21,472,3,1,0
Cambodia,122,0,120,2,7,0,0,0
South Sudan,120,0,2,118,11,0,0,0
Bermuda,118,0,64,47,1895,112,7,0
Trinidad and Tobago,116,0,104,4,83,6,8,0
Uganda,116,15,55,61,3,0,0,0
Nepal,109,7,31,78,4,0,0,0
Aruba,101,0,89,9,946,28,3,0
Monaco,96,1,82,10,2446,102,4,0
Guyana,94,0,35,49,120,13,10,0
Bahamas,92,0,37,44,234,28,11,0
Mozambique,87,5,34,53,3,0,0,0
Barbados,84,1,57,20,292,24,7,0
Liechtenstein,82,0,55,26,2151,26,1,0
Cayman Islands,81,0,41,39,1232,15,1,0
Sint Maarten,76,0,46,15,1773,350,15,1
Libya,64,0,24,37,9,0.4,3,0
French Polynesia,60,0,56,4,214,0,0,0
Malawi,56,13,14,39,3,0.2,3,0
Syria,47,0,29,15,3,0.2,3,0
Macao,45,0,40,5,69,0,0,0
Angola,43,0,13,28,1,0.06,2,0
Mongolia,42,0,14,28,13,0,0,0
Saint Martin,39,1,30,6,1009,78,3,0
Eritrea,39,0,37,2,11,0,0,0
Zimbabwe,35,1,9,22,2,0.3,4,0
Yemen,34,0,1,26,1,0.2,7,0
Antigua and Barbuda,25,0,19,3,255,31,3,0
Timor-Leste,24,0,21,3,18,0,0,0
Botswana,23,0,12,10,10,0.4,1,0
Grenada,21,0,13,8,187,0,0,0
Gambia,20,0,9,10,8,0.4,1,0
Laos,19,0,13,6,3,0,0,0
Belize,18,0,16,0,45,5,2,0
Fiji,18,0,14,4,20,0,0,0
New Caledonia,18,0,18,0,63,0,0,0
Saint Lucia,18,0,17,1,98,0,0,0
St. Vincent Grenadines,17,0,9,8,153,0,0,0
Nicaragua,16,0,7,4,2,0.8,5,0
Curaçao,16,0,14,1,98,6,1,0
Dominica,16,0,14,2,222,0,0,0
Namibia,16,0,10,6,6,0,0,0
Burundi,15,0,7,7,1,0.08,1,0
Saint Kitts and Nevis,15,0,13,2,282,0,0,0
Falkland Islands,13,0,13,0,3736,0,0,0
Turks and Caicos,12,0,8,3,310,26,1,0
Vatican City,12,0,2,10,14981,0,0,0
Comoros,11,3,0,10,13,1,1,0
Montserrat,11,0,8,2,2204,200,1,0
Greenland,11,0,11,0,194,0,0,0
Seychelles,11,0,8,3,112,0,0,0
Suriname,10,0,9,0,17,2,1,0
MS Zaandam,9,0,0,7,0,0,2,0
Mauritania,8,0,6,1,2,0.2,1,0
Papua New Guinea,8,0,8,0,0.9,0,0,0
British Virgin Islands,7,0,4,2,232,33,1,0
Bhutan,7,0,5,2,9,0,0,0
Caribbean Netherlands,6,0,0,6,229,0,0,0
St. Barth,6,0,6,0,607,0,0,0
Western Sahara,6,0,5,1,10,0,0,0
Anguilla,3,0,3,0,200,0,0,0
Saint Pierre Miquelon,1,0,0,1,173,0,0,0
